new-orleans Jan 05, 2011 934 $10 $20 $10
new-orleans Nov 15, 2010 3069 $9 $18 $9
new-orleans Nov 12, 2010 941 $20 $40 $20
new-orleans Nov 11, 2010 500 $12 $24 $12
new-orleans Nov 08, 2010 434 $15 $32 $17
new-orleans Nov 02, 2010 766 $18 $35 $17
new-orleans Oct 13, 2010 441 $15 $30 $15
new-orleans Aug 24, 2010 1600 $15 $35 $20
new-orleans Aug 04, 2010 2733 $8 $20 $12
new-orleans Jul 02, 2010 690 $25 $50 $25
new-orleans Jun 23, 2010 642 $10 $20 $10
new-orleans Jun 08, 2010 125 $15 $30 $15
new-orleans May 24, 2010 381 $5 $10 $5
new-orleans May 03, 2010 127 $15 $30 $15
new-orleans Apr 23, 2010 1496 $15 $35 $20
new-orleans Apr 19, 2010 137 $10 $20 $10
new-orleans Apr 13, 2010 377 $25 $60 $35
new-orleans Apr 12, 2010 638 $15 $34 $19
houston Feb 18, 2011 3056 $20 $40 $20
houston Feb 07, 2011 1741 $18 $36 $18
houston Feb 04, 2011 10272 $10 $20 $10
houston Feb 01, 2011 4582 $38 $75 $37
houston Jan 21, 2011 696 $49 $99 $50
houston Jan 17, 2011 2709 $7 $15 $8
houston Dec 28, 2010 8613 $9 $18 $9
houston Dec 16, 2010 2000 $5 $20 $15
houston Nov 29, 2010 6418 $25 $50 $25
houston Nov 05, 2010 5710 $10 $20 $10
houston Oct 18, 2010 5790 $21 $44 $23
houston Oct 08, 2010 2353 $20 $50 $30
houston Oct 01, 2010 2315 $9 $19 $10
houston Sep 24, 2010 3171 $20 $40 $20
houston Sep 22, 2010 1277 $50 $250 $200
houston Sep 20, 2010 4992 $12 $24 $12
houston Sep 17, 2010 1082 $150 $657 $507
houston Sep 16, 2010 679 $49 $375 $326
houston Sep 14, 2010 1395 $20 $40 $20
houston Sep 13, 2010 894 $30 $60 $30
houston Sep 08, 2010 520 $59 $270 $211
houston Sep 07, 2010 1331 $18 $36 $18
houston Sep 01, 2010 1444 $10 $25 $15
houston Aug 31, 2010 455 $120 $240 $120
houston Aug 28, 2010 2660 $20 $40 $20
houston Aug 26, 2010 4310 $7 $14 $7
houston Aug 19, 2010 9134 $25 $50 $25
houston Aug 17, 2010 2666 $20 $250 $230
houston Aug 11, 2010 2059 $20 $40 $20
houston Aug 03, 2010 2839 $20 $40 $20
houston Jul 31, 2010 1540 $20 $50 $30
houston Jul 30, 2010 2979 $50 $200 $150
houston Jul 14, 2010 1517 $25 $50 $25
houston Jul 13, 2010 1596 $15 $30 $15
houston Jul 08, 2010 427 $95 $229 $134
houston Jul 01, 2010 8292 $9 $19 $10
houston Jun 30, 2010 1964 $20 $45 $25
